Field Name,Question,Values
Respondent,Primary key - system generated,Integer
Reached end,system generated,"0 = No
1 = Yes"
1.1. Had to temporarily close down or adjust services,1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
1.2. Moved program and service delivery online,1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
1.3. Had to increase hours due to increased demand for programs and services,1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
1.4. Remained closed and unable to offer any programs or services,1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
1.5. Lost funding from program partners or donors,1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
1.6. Lost revenue from user fees,1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
1.7. Had to reduce staff work hours,1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
1.8. Had to lay off employees due to financial constraints,1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
1.9. Hired additional staff,1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
1.10. Lost volunteers,1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
1.11. Had employees that contracted COVID-19,1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
1.12. Had clients that contracted COVID-19,1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
1.13. Developed new partnerships to continue to deliver programs and services,1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
1.14. Had to apply to the Canada Emergency Wage Subsidy (CEWS) to maintain staffing levels,1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
"1.15. Ineligible for federal or provincial supports (e.g. Canada Emergency Wage Subsidy, Canada Emergency Business account)",1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"1
NULL"
"1.16. Other, please specify",1.  How has your agency been impacted by the COVID-19 pandemic? Please select all that apply.,"freeform text
NULL"
"2. Please provide any additional comments on how your agency has been impacted by the COVID-19 pandemic, if not reflected in the previous question.&nbsp &nbsp Please do not provide any personal information in your response.","2.  Please provide any additional comments on how your agency has been impacted by the COVID-19 pandemic, if not reflected in the previous question. Please do not provide any personal information in your response.","freeform text
NULL"
3.1.1. Public health guidance and information about COVID-19 - Short-term (0-6 months),"3.1.  Please identify whether your agency needs any of the following supports as the city begins to re-open, as and as we move through recovery and rebuild. For each support you select, please identify whether it is a short-term (0-6 months), medium-term (6-18 months), or long-term (18+ months) priority. If it is not a priority for your agency, please select 'N/A' (Not Applicable).
Public health guidance and information about COVID-19","1
NULL"
3.1.2. Public health guidance and information about COVID-19 - Medium-term (6-18 months),"3.1.  Please identify whether your agency needs any of the following supports as the city begins to re-open, as and as we move through recovery and rebuild. For each support you select, please identify whether it is a short-term (0-6 months), medium-term (6-18 months), or long-term (18+ months) priority. If it is not a priority for your agency, please select 'N/A' (Not Applicable).
Public health guidance and information about COVID-19","1
NULL"
3.1.3. Public health guidance and information about COVID-19 - Long-term (18+ months),"3.1.  Please identify whether your agency needs any of the following supports as the city begins to re-open, as and as we move through recovery and rebuild. For each support you select, please identify whether it is a short-term (0-6 months), medium-term (6-18 months), or long-term (18+ months) priority. If it is not a priority for your agency, please select 'N/A' (Not Applicable).
Public health guidance and information about COVID-19","1
NULL"
3.1.4. Public health guidance and information about COVID-19 - N/A,"3.1.  Please identify whether your agency needs any of the following supports as the city begins to re-open, as and as we move through recovery and rebuild. For each support you select, please identify whether it is a short-term (0-6 months), medium-term (6-18 months), or long-term (18+ months) priority. If it is not a priority for your agency, please select 'N/A' (Not Applicable).
Public health guidance and information about COVID-19","1
NULL"
3.2.1. Workplace modification supports (e.g. plexiglass barriers) - Short-term (0-6 months),"3.2.  Please identify whether your agency needs any of the following supports as the city begins to re-open, as and as we move through recovery and rebuild. For each support you select, please identify whether it is a short-term (0-6 months), medium-term (6-18 months), or long-term (18+ months) priority. If it is not a priority for your agency, please select 'N/A' (Not Applicable).
Workplace modification supports (e.g. plexiglass barriers)","1
NULL"
3.2.2. Workplace modification supports (e.g. plexiglass barriers) - Medium-term (6-18 months),"3.2.  Please identify whether your agency needs any of the following supports as the city begins to re-open, as and as we move through recovery and rebuild. For each support you select, please identify whether it is a short-term (0-6 months), medium-term (6-18 months), or long-term (18+ months) priority. If it is not a priority for your agency, please select 'N/A' (Not Applicable).
Workplace modification supports (e.g. plexiglass barriers)","1
NULL"
